Price,Area,Num_rooms,Condition,Location,Description,Image_url,Transaction_date
3500000000,75,2,new,Ha Noi,"Nhà mới xây, gần trung tâm, sạch sẽ, tiện nghi","https://example.com/house1.jpg",2024-01-15
4200000000,90,3,good,Ha Noi,"Nhà rộng rãi, thoáng mát, gần trường học","https://example.com/house2.jpg",2024-02-10
2800000000,60,2,old,Ha Noi,"Nhà cũ cần sửa, giá rẻ, vị trí đẹp","https://example.com/house3.jpg",2024-03-05
5500000000,120,4,new,Ho Chi Minh,"Biệt thự cao cấp, nội thất sang trọng","https://example.com/house4.jpg",2024-01-25
3100000000,70,2,good,Da Nang,"Nhà gần biển, view đẹp, thoáng mát","https://example.com/house5.jpg",2024-02-18
4700000000,95,3,new,Ha Noi,"Nhà mới, gần trung tâm, đầy đủ tiện ích","https://example.com/house6.jpg",2024-03-12
2600000000,55,1,old,Da Nang,"Nhà nhỏ, phù hợp đầu tư, giá tốt","https://example.com/house7.jpg",2024-01-30
6000000000,130,5,new,Ho Chi Minh,"Nhà lớn, khu dân cư cao cấp, an ninh tốt","https://example.com/house8.jpg",2024-02-22
3900000000,85,3,good,Ha Noi,"Nhà đẹp, gần chợ, giao thông thuận tiện","https://example.com/house9.jpg",2024-03-08
3300000000,65,2,good,Da Nang,"Nhà gần trung tâm, tiện ích đầy đủ","https://example.com/house10.jpg",2024-03-20
7200000000,150,5,new,Ha Noi,"Biệt thự lớn, sân vườn rộng, cao cấp","https://example.com/house11.jpg",2024-01-10
2900000000,58,2,old,Ha Noi,"Nhà cũ, cần cải tạo, giá mềm","https://example.com/house12.jpg",2024-02-05
4100000000,88,3,good,Ho Chi Minh,"Nhà đẹp, khu dân cư yên tĩnh","https://example.com/house13.jpg",2024-03-01
5000000000,110,4,new,Da Nang,"Nhà gần biển, nội thất hiện đại","https://example.com/house14.jpg",2024-02-15
2700000000,52,1,old,Da Nang,"Nhà nhỏ, phù hợp sinh viên","https://example.com/house15.jpg",2024-01-28
4500000000,92,3,good,Ha Noi,"Nhà đẹp, gần trường học và bệnh viện","https://example.com/house16.jpg",2024-02-12
3800000000,80,3,good,Ha Noi,"Nhà sạch sẽ, khu dân cư đông đúc","https://example.com/house17.jpg",2024-03-09
6200000000,140,5,new,Ho Chi Minh,"Biệt thự sang trọng, bảo vệ 24/7","https://example.com/house18.jpg",2024-01-22
3100000000,68,2,good,Da Nang,"Nhà gần biển, không khí trong lành","https://example.com/house19.jpg",2024-02-19
2600000000,50,1,old,Ha Noi,"Nhà nhỏ, giá rẻ, cần sửa chữa","https://example.com/house20.jpg",2024-03-03
4800000000,100,3,new,Ha Noi,"Nhà mới, thiết kế hiện đại","https://example.com/house21.jpg",2024-01-18
3500000000,78,2,good,Ho Chi Minh,"Nhà đẹp, tiện ích đầy đủ","https://example.com/house22.jpg",2024-02-25
5300000000,115,4,new,Da Nang,"Nhà gần biển, view đẹp","https://example.com/house23.jpg",2024-03-14
3000000000,62,2,good,Ha Noi,"Nhà trung tâm, giao thông thuận lợi","https://example.com/house24.jpg",2024-01-27
2800000000,57,1,old,Da Nang,"Nhà nhỏ, giá rẻ, phù hợp đầu tư","https://example.com/house25.jpg",2024-02-08
4600000000,98,3,new,Ho Chi Minh,"Nhà mới, khu dân cư cao cấp","https://example.com/house26.jpg",2024-03-11
3400000000,72,2,good,Ha Noi,"Nhà sạch sẽ, gần chợ","https://example.com/house27.jpg",2024-01-19
5100000000,108,4,new,Da Nang,"Nhà đẹp, nội thất cao cấp","https://example.com/house28.jpg",2024-02-21
2900000000,60,2,old,Ha Noi,"Nhà cũ, cần sửa, vị trí tốt","https://example.com/house29.jpg",2024-03-06
6000000000,135,5,new,Ho Chi Minh,"Biệt thự lớn, khu an ninh","https://example.com/house30.jpg",2024-03-18
